,user,tweetText,simplePolarity,nouns,party,state
0,SteveDaines,Our MT Electric Cooperatives keep the lights on in Montana Great catching up with folks at the annual conference today,0.7,"['mt', 'cooperatives', 'montana', 'annual conference']",R,Montana
1,SteveDaines,Our wildland firefighters and first responders are on the front lines protecting our families amp communities from deadly wildfires I introduced a Senate resolution recognizing their service and honoring those we ve lost including Montanans this fire season,0.024999999999999994,"['wildland firefighters', 'front lines', 'families amp communities', 'senate resolution', 'montanans', 'fire season']",R,Montana
2,SteveDaines,MT veterans dedicated their lives defending our freedom We must do all we can to ensure our retired Montana heroes have the healthcare they earned,0.0,"['mt', 'montana']",R,Montana
3,SteveDaines,In Montana we have a balanced energy portfolio that provides reliable energy to MT families and high paying jobs for MT communities Thanks for coming out to Colstrip last week,0.12,"['montana', 'energy portfolio', 'reliable energy', 'mt', 'mt', 'thanks', 'colstrip']",R,Montana
4,SteveDaines,Montana stands with you,0.0,['montana'],R,Montana
5,SenatorTester,We re seeing a sharp rise in COVID 19 cases in Montana It s critical that we all do our part to protect our fellow Montanans Wear masks Social distance If we all work together we can beat this thing MaskUpMT,-0.030555555555555558,"['sharp rise', 'covid', 'montana', 'montanans wear', 'social distance', 'maskupmt']",D,Montana
6,SenatorTester,Democracy at work folks Who s your favorite to win FatBearWeek My money is on the substantial 747 to take home the gold Fat Bear Week is yet another reminder of how important it is to KeepItPublic Without our public lands how would we know which fat bear is best,0.54,"['democracy', 'work folks', 'who', 'fatbearweek', 'fat bear', 'keepitpublic', 'public lands']",D,Montana
7,SenatorTester,Montana s health care workers have put their lives on the line to protect us throughout this pandemic and it s our duty to help them in return by following local public health guidelines We can flatten this curve again but it will take all of us,0.0,"['montana', 's health care workers', 'following local', 'public health guidelines']",D,Montana
8,SenatorTester,Sharla and I are saddened to hear of the passing of Jim Murry Jim a legendary labor advocate and passionate champion for Montana workers was never afraid to stand up for the little guy Our thoughts are with Jim s friends and family during this difficult time,0.1125,"['sharla', 'jim murry jim', 'legendary labor advocate', 'passionate champion', 'montana', 'jim', 's friends', 'difficult time']",D,Montana
9,SenatorTester,During s visit to Montana earlier this week the Secretary didn t have the chance to meet face to face with MT veterans so I m relaying firsthand accounts of the challenges facing our vets and their families Learn more,0.25,"['s visit', 'montana', 'secretary didn t', 'mt', 'firsthand accounts', 'learn']",D,Montana
