0,SenKevinCramer,Always nice to see my friends from in Washington We covered a wide range of topics affecting them including RMA issues WPA easements MFP payments wetland setbacks and the Phase One trade deal with China,0.25,"['washington', 'wide range', 'rma', 'wpa', 'mfp', 'payments wetland setbacks', 'phase', 'china']",R,North Dakota
1,SenKevinCramer,President delivered a strong SOTU with an optimistic outlook for our country and a compelling case for continuing the policies which have led to this Great American Comeback My statement,0.3833333333333333,"['sotu', 'optimistic outlook', 'comeback']",R,North Dakota
2,SenKevinCramer,Tax reform Trade deals Deregulation Securing the border Rebuilding the military America s energy revolution President s record of delivering real results for the American people cannot be denied,0.03333333333333333,"['tax reform trade deals', 'deregulation securing', 'rebuilding', 'america', 's energy revolution president s record', 'american people']",R,North Dakota
3,SenKevinCramer,Visiting with North Dakota s Tribal College students is one of my favorite meetings every year I m inspired by their stories and grateful for our time together We discussed issues unique to tribal colleges including broadband cultural education and degree programs,0.325,"['visiting', 'dakota', 'tribal', 'college students', 'favorite meetings', 'tribal colleges', 'cultural education', 'degree programs']",R,North Dakota
4,SenKevinCramer,Met with s Federal Reserve Board nominees Chris Waller amp Judy Shelton They are well qualified to serve on the board and I m looking forward to supporting their nominations in later this month,0.125,"['met', 'federal reserve board nominees', 'chris waller', 'judy shelton']",R,North Dakota
5,SenJohnHoeven,The President s SOTU address tonight covered key priorities for our nation amp for NorthDakota Strong economic growth higher wages implementing new trade agreements reducing health care costs securing our borders more,0.2532828282828283,"['president s', 'sotu', 'key priorities', 'nation amp', 'northdakota strong', 'economic growth', 'new trade agreements', 'health care costs']",R,North Dakota
6,SenJohnHoeven,Always enjoy catching up with when they re in town amp discussing ways we re advancing priorities for NDag Proud to sport my grain growers tie to the SOTU tonight,0.6,"['town amp', 'ndag proud', 'grain growers tie', 'sotu']",R,North Dakota
7,SenJohnHoeven,Leaders like contribute to making ND a hub of tech entrepreneurship His efforts with help promote new opportunities connecting NDtech w NDag amp these advancements are vital great catching up before we head over to SOTU,0.40909090909090906,"['nd', 'tech entrepreneurship', 'new opportunities', 'ndtech', 'ndag', 'sotu']",R,North Dakota
8,SenJohnHoeven,As chair of Ag Approps we worked to fund MFP amp getting this next payment out to NDag producers will help provide an important bridge for our farmers amp ranchers while the trade agreements ag purchases we made progress in securing over the past several weeks get going,0.037500000000000006,"['ag approps', 'mfp', 'ndag', 'farmers amp ranchers', 'trade agreements ag']",R,North Dakota
9,SenJohnHoeven, It s just been announced Bushel s CEO Jake Joraanstad will be Senator John Hoeven s guest for the upcoming State of the,0.0,"['bushel', 'ceo jake joraanstad', 'john hoeven', 's guest']",R,North Dakota
10,SenatorFischer, One of America s last surviving Tuskegee Airmen Scholarships for quality education Young leaders Comfort for mourning,0.05,"['america', 'tuskegee airmen scholarships', 'quality education', 'young leaders', 'comfort']",R,Nebraska
11,SenatorFischer,Tonight laid out a forward looking plan and put forth an optimistic vision for the country I hope it will inspire Congress to work together across party lines to ensure a brighter future for Nebraskans and all Americans SOTU,0.0,"['optimistic vision', 'congress', 'party lines', 'nebraskans', 'sotu']",R,Nebraska
12,SenatorFischer,It s starting now Tune in to SOTU,0.0,['sotu'],R,Nebraska
